No.overall,No._inseason,Title,Directed_by,Written_by,Original_air_date,Prod.code,U.S._viewers_millions,Season
1,1,"""Pilot""",James Burrows,Chuck Lorre & Bill Prady,24/09/2007,276023,9.52,1
2,2,"""The Big Bran Hypothesis""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Robert Cohen & Dave Goetsch,01/10/2007,3T6601,8.58,1
3,3,"""The Fuzzy Boots Corollary""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,08/10/2007,3T6602,8.36,1
4,4,"""The Luminous Fish Effect""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : David Litt & Lee Aronsohn,15/10/2007,3T6603,8.15,1
5,5,"""The Hamburger Postulate""",Andrew D. Weyman,Story by : Jennifer GlickmanTeleplay by : Dave Goetsch & Steven Molaro,22/10/2007,3T6604,8.81,1
6,6,"""The Middle-earth Paradigm""",Mark Cendrowski,Story by : Dave GoetschTeleplay by : David Litt & Robert Cohen,29/10/2007,3T6605,8.92,1
7,7,"""The Dumpling Paradox""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Jennifer Glickman,05/11/2007,3T6606,9.68,1
8,8,"""The Grasshopper Experiment""",Ted Wass,Story by : Dave Goetsch & Steven MolaroTeleplay by : Lee Aronsohn & Robert Cohen,12/11/2007,3T6607,9.32,1
9,9,"""The Cooper-Hofstadter Polarization""",Joel Murray,Story by : Bill Prady & Stephen EngelTeleplay by : Chuck Lorre & Lee Aronsohn & Dave Goetsch,17/03/2008,3T6608,9.11,1
10,10,"""The Loobenfeld Decay""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,24/03/2008,3T6609,8.63,1
11,11,"""The Pancake Batter Anomaly""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Stephen Engel,31/03/2008,3T6610,8.68,1
12,12,"""The Jerusalem Duality""",Mark Cendrowski,Story by : Jennifer Glickman & Stephen EngelTeleplay by : Dave Goetsch & Steven Molaro,14/04/2008,3T6611,7.69,1
13,13,"""The Bat Jar Conjecture""",Mark Cendrowski,Story by : Stephen Engel & Jennifer GlickmanTeleplay by : Bill Prady & Robert Cohen,21/04/2008,3T6612,7.51,1
14,14,"""The Nerdvana Annihilation""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Stephen Engel & Steven Molaro,28/04/2008,3T6613,8.07,1
15,15,"""The Shiksa Indeterminacy""[28]""The Pork Chop Indeterminacy""[29]",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Lee Aronsohn & Bill Prady,05/05/2008,3T6614,7.38,1
16,16,"""The Peanut Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee AronsohnTeleplay by : Dave Goetsch & Steven Molaro,12/05/2008,3T6615,7.79,1
17,17,"""The Tangerine Factor""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Steven Molaro,19/05/2008,3T6616,7.34,1
18,1,"""The Bad Fish Paradigm""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Steven Molaro,22/09/2008,3T7351,9.36,2
19,2,"""The Codpiece Topology""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,29/09/2008,3T7352,8.76,2
20,3,"""The Barbarian Sublimation""",Mark Cendrowski,Story by : Nicole LorreTeleplay by : Steven Molaro & Eric Kaplan,06/10/2008,3T7353,9.33,2
21,4,"""The Griffin Equivalency""",Mark Cendrowski,Story by : Bill Prady & Chuck LorreTeleplay by : Stephen Engel & Tim Doyle,13/10/2008,3T7354,9.36,2
22,5,"""The Euclid Alternative""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Lee Aronsohn & Dave Goetsch,20/10/2008,3T7355,9.28,2
23,6,"""The Cooper–Nowitzki Theorem""",Mark Cendrowski,Story by : Stephen Engel & Daley HaggarTeleplay by : Tim Doyle & Richard Rosenstock,03/11/2008,3T7356,9.67,2
24,7,"""The Panty Piñata Polarization""",Mark Cendrowski,Story by : Bill Prady & Tim DoyleTeleplay by : Jennifer Glickman & Steven Molaro,10/11/2008,3T7357,10,2
25,8,"""The Lizard–Spock Expansion""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Jennifer Glickman,17/11/2008,3T7358,9.76,2
26,9,"""The White Asparagus Triangulation""",Mark Cendrowski,Story by : Dave Goetsch & Steven MolaroTeleplay by : Stephen Engel & Richard Rosenstock,24/11/2008,3T7359,10.1,2
27,10,"""The Vartabedian Conundrum""",Mark Cendrowski,Story by : Chuck Lorre & Steven MolaroTeleplay by : Bill Prady & Richard Rosenstock,08/12/2008,3T7360,10.8,2
28,11,"""The Bath Item Gift Hypothesis""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Stephen Engel & Eric Kaplan,15/12/2008,3T7361,11.4,2
29,12,"""The Killer Robot Instability""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Steven Molaro & Daley Haggar,12/01/2009,3T7362,11.8,2
30,13,"""The Friendship Algorithm""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Chuck Lorre & Steven Molaro,19/01/2009,3T7363,11.1,2
31,14,"""The Financial Permeability""",Mark Cendrowski,Story by : Chuck Lorre & Steven MolaroTeleplay by : Richard Rosenstock & Eric Kaplan,02/02/2009,3T7364,10.8,2
32,15,"""The Maternal Capacitance""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Richard Rosenstock & Steven Molaro,09/02/2009,3T7365,13.1,2
33,16,"""The Cushion Saturation""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,02/03/2009,3T7366,10.9,2
34,17,"""The Terminator Decoupling""",Mark Cendrowski,Story by : Bill Prady & Dave GoetschTeleplay by : Tim Doyle & Stephen Engel,09/03/2009,3T7367,9.46,2
35,18,"""The Work Song Nanocluster""",Peter Chakos,Story by : Bill Prady & Lee AronsohnTeleplay by : Dave Goetsch & Richard Rosenstock,16/03/2009,3T7368,9.76,2
36,19,"""The Dead Hooker Juxtaposition""",Mark Cendrowski,Steven Molaro,30/03/2009,3T7369,9.77,2
37,20,"""The Hofstadter Isotope""",Mark Cendrowski,Dave Goetsch,13/04/2009,3T7370,10.1,2
38,21,"""The Vegas Renormalization""",Mark Cendrowski,Story by : Jessica Ambrosetti & Nicole Lorre & Andrew RothTeleplay by : Steven Molaro,27/04/2009,3T7371,9.31,2
39,22,"""The Classified Materials Turbulence""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Steven Molaro,04/05/2009,3T7373,9.25,2
40,23,"""The Monopolar Expedition""",Mark Cendrowski,Eric Kaplan & Richard Rosenstock,11/05/2009,3T7372,9.81,2
41,1,"""The Electric Can Opener Fluctuation""",Mark Cendrowski,Steven Molaro,21/09/2009,3X5551,12.9,3
42,2,"""The Jiminy Conjecture""",Mark Cendrowski,Jim Reynolds,28/09/2009,3X5552,13.2,3
